,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
324,1300.0,3.0,1.5,2000.0,1925.0,1358 E 65th St,Single Family Home,Bergen Beach,Brooklyn,652000.0
325,750.0,1.0,1.0,2200.0,1925.0,810 Church Rd,Single Family Home,Broad Channel,New York,281000.0
326,2500.0,5.0,3.0,2000.0,1970.0,1933 Stillwell Ave,Multi-Family Home,Gravesend,Brooklyn,1350000.0
327,1890.0,3.0,2.5,1584.0,1977.0,246 Grasmere Dr,Single Family Home,Grasmere,Staten Island,558000.0
328,1188.0,3.0,1.0,1742.0,1950.0,166-64 22 Ave,Single Family Home,Clearview,Queens,725000.0
329,1328.0,4.0,2.5,2614.0,1920.0,99-06 158th Ave,Single Family Home,Howard Beach,New York,680000.0
330,3511.0,5.0,4.5,5108.0,2015.0,15 Starr Ave,Single Family Home,West Brighton,Staten Island,1050000.0
331,2700.0,4.0,2.5,5480.0,1970.0,39 Fern Ave,Single Family Home,Great Kills,Staten Island,880000.0
332,2256.0,3.0,2.5,3800.0,1980.0,27 Sharon Ln,Single Family Home,Woodrow,Staten Island,885000.0
333,2327.0,3.0,2.5,4326.0,1970.0,157 Paulding Ave,Single Family Home,Bulls Head,Staten Island,830000.0
334,1925.0,3.0,3.5,5500.0,1970.0,124 9th St,Single Family Home,New Dorp,Staten Island,862000.0
335,1304.0,3.0,1.5,1360.0,1965.0,135 Roman Ave,Single Family Home,Bulls Head,Staten Island,635000.0
336,1176.0,3.0,1.5,2400.0,1997.0,163 Oakdale St,Single Family Home,Great Kills,Staten Island,630000.0
337,1440.0,3.0,2.0,2400.0,1997.0,22 Winston St,Single Family Home,Eltingville,Staten Island,579988.0
338,1632.0,4.0,2.5,2000.0,1920.0,1506 Albany Ave,Single Family Home,East Flatbush,Brooklyn,720000.0
339,1200.0,3.0,2.0,7020.0,1955.0,4176 Richmond Ave,Single Family Home,Eltingville,Staten Island,600000.0
340,952.0,3.0,1.0,1300.0,1920.0,4 Chestnut St,Single Family Home,Stapleton,Staten Island,364000.0
341,1440.0,3.0,1.5,2100.0,1984.0,55 Ironwood St,Single Family Home,Great Kills,Staten Island,540000.0
342,1404.0,4.0,3.0,4650.0,1965.0,96 Linwood Ave,Single Family Home,South Beach,Staten Island,740000.0
343,1938.0,5.0,3.0,1783.0,1940.0,1408 Troy Ave,Multi-Family Home,East Flatbush,Brooklyn,775000.0
344,1216.0,3.0,2.0,2000.0,1940.0,132-29 83rd St,Single Family Home,Ozone Park,New York,630000.0
345,1984.0,4.0,2.5,4050.0,1982.0,353 Great Kills Rd,Single Family Home,Great Kills,Staten Island,760000.0
346,1144.0,3.0,2.0,40075.236800000006,1960.0,14 McLaughlin St,Single Family Home,South Beach,Staten Island,650000.0
347,780.0,3.0,1.0,2000.0,1925.0,192 Kiswick St,Single Family Home,Midland Beach,Staten Island,350000.0
348,1800.0,3.0,2.0,3600.0,1987.0,2966 Gerritsen Ave,Multi-Family Home,Gerritsen Beach,Brooklyn,720000.0
349,1452.0,2.0,1.0,5300.0,1945.0,91 Tuckahoe Ave,Single Family Home,Huguenot,Staten Island,525000.0
350,864.0,3.0,2.0,4000.0,1950.0,144 Jefferson Ave,Single Family Home,Grant City,Staten Island,550000.0
351,1350.0,3.0,2.5,1848.0,1997.0,21 Bentley Ln,Single Family Home,Tottenville,Staten Island,610000.0
352,1645.0,3.0,2.5,1500.0,2020.0,75 Rome Ave,Single Family Home,Concord,Staten Island,625000.0
353,1600.0,4.0,2.0,2000.0,1925.0,944 E 28th St,Single Family Home,Midwood,Brooklyn,775000.0
354,1380.0,3.0,1.5,2300.0,1965.0,122 Maybury Ave,Single Family Home,Great Kills,Staten Island,595000.0
355,1360.0,3.0,2.0,2808.0,1985.0,434 Clifton Ave,Single Family Home,Rosebank,Staten Island,485000.0
356,1153.0,3.0,2.0,3920.0,1950.0,136-13 243rd St,Single Family Home,Rosedale,New York,600000.0
357,2244.0,5.0,3.5,3920.0,2009.0,147-24 21st Ave,Multi-Family Home,Whitestone,New York,1370000.0
358,1428.0,3.0,2.5,2614.0,1920.0,61-51 56th Dr,Multi-Family Home,Maspeth,New York,915000.0
359,1552.0,3.0,2.0,3049.0,1920.0,219-28 138th Rd,Single Family Home,Laurelton,Queens,580000.0
360,1435.0,3.0,1.5,2880.0,2017.0,23 Neutral Ave,Single Family Home,New Dorp Beach,Staten Island,560000.0
361,2390.0,3.0,1.5,2475.0,1985.0,658 Travis Ave,Single Family Home,New Springville,Staten Island,768000.0
362,1600.0,3.0,2.5,2509.0,1997.0,296 Candon Ave,Single Family Home,Rossville,Staten Island,665000.0
363,1292.0,3.0,4.5,1620.0,1986.0,51 Locust Ct,Single Family Home,Rossville,Staten Island,505000.0
364,1800.0,3.0,3.5,2516.0,1990.0,1212 S Railroad Ave,Single Family Home,Grant City,Staten Island,660000.0
365,1400.0,3.0,1.5,1230.0,1993.0,21 Deborah Loop,Condo,Annadale,Staten Island,490000.0
366,1940.0,3.0,2.5,2800.0,1995.0,44 Notus Ave,Condo,Eltingville,Staten Island,620000.0
367,2839.0,4.0,4.0,2298.0,1984.0,24 Cottonwood Ct,Single Family Home,Great Kills,Staten Island,680000.0
368,1440.0,3.0,1.5,2400.0,1930.0,1831 E 38th St,Single Family Home,Marine Park,Brooklyn,785000.0
369,1600.0,3.0,1.5,3741.0,1980.0,908 Stafford Ave,Single Family Home,Woodrow,Staten Island,760000.0
370,1524.0,3.0,2.0,1600.0,1935.0,2616 Avenue V,Single Family Home,Sheepshead Bay,Brooklyn,782000.0
371,1500.0,3.0,2.0,1242.0,1991.0,222 Norway Ave,Condo,South Beach,Staten Island,635000.0
372,2230.0,4.0,2.0,3870.0,1970.0,264 Getz Ave,Single Family Home,Eltingville,Staten Island,690000.0
373,1383.0,2.0,2.0,1050.0,1992.0,24 Crown Ct,Condo,Annadale,Staten Island,470000.0
374,840.0,1.0,1.0,4000.0,1925.0,9-11 Hempstead Ave,Single Family Home,Midland Beach,Staten Island,455000.0
375,1610.0,3.0,1.5,3500.0,1929.0,1007 Forest Ave,Single Family Home,West Brighton,Staten Island,552000.0
376,1683.0,3.0,2.0,1742.0,1955.0,150-45 77th Ave,Single Family Home,Kew Gardens Hills,Queens,795000.0
377,1626.0,2.0,1.5,640.0,1990.0,2008 Arthur Kill Rd,Condo,Huguenot,Staten Island,360000.0
378,1400.0,3.0,1.0,5000.0,1915.0,88 Locust Ave,Single Family Home,New Dorp,Staten Island,610000.0
379,1888.0,4.0,4.0,5035.0,1957.0,399 Beach Rd,Single Family Home,Eltingville,Staten Island,840000.0
380,3129.0,5.0,2.0,80150.47360000001,1925.0,175 Nixon Ave,Single Family Home,Tompkinsville,Staten Island,970000.0
381,2112.0,3.0,3.5,3500.0,1989.0,59 Speedwell Ave,Single Family Home,Bulls Head,Staten Island,720000.0
382,2279.0,3.0,3.0,3800.0,2020.0,404 Ashland Ave,Single Family Home,Prince's Bay,Staten Island,975000.0
383,1750.0,3.0,3.5,2400.0,1998.0,12 Seth Loop,Single Family Home,Rosebank,Staten Island,688000.0
384,2812.0,6.0,3.0,2000.0,1965.0,2510 W 2nd St,Multi-Family Home,Gravesend,Brooklyn,1265000.0
385,4554.0,4.0,3.5,10454.4096,1986.0,726 Correll Ave,Single Family Home,Rossville,Staten Island,1200000.0
386,3120.0,6.0,5.0,2000.0,1910.0,1135 74th St,Multi-Family Home,Dyker Heights,Brooklyn,1430000.0
387,1728.0,3.0,3.5,3437.0,2007.0,252 Maryland Ave,Single Family Home,Rosebank,Staten Island,750000.0
388,2288.0,3.0,3.5,7224.0,1975.0,953 Willowbrook Rd,Single Family Home,Willowbrook,Staten Island,1045000.0
389,1408.0,3.0,2.0,2277.0,1978.0,245 Colon Ave,Single Family Home,Great Kills,Staten Island,593000.0
390,2250.0,4.0,3.5,4750.0,1945.0,80 7th St,Single Family Home,New Dorp,Staten Island,980000.0
391,1624.0,3.0,1.5,2100.0,1960.0,2665 Mill Ave,Single Family Home,Mill Basin,Brooklyn,615000.0
392,1280.0,3.0,2.0,2875.0,1984.0,2713 W 36th St,Single Family Home,Coney Island,Brooklyn,550000.0
393,1576.0,3.0,2.5,4900.0,1925.0,2113 Victory Blvd,Single Family Home,Westerleigh,Staten Island,600000.0
